BEAMS
BinSize:0.625,Temperature:39.500K,Field:0.000G,Sample:nano-Mn3O4,Orientation:powder,NumBins:16384,NumHists:5,RunNumber:7387,Title:nano-Mn3O4 zero field
Forward,Backward,Up,Down,Right
1083,1400,1837,1728,342
1091,1460,1915,1713,326
1133,1387,1905,1795,352
1051,1449,1977,1790,325
1091,1432,1858,1788,311
1081,1370,1947,1753,307
1128,1435,1929,1774,342
1096,1443,1863,1763,296
1109,1475,1908,1775,298
1050,1545,1893,1807,304
1184,1500,1873,1757,297
1097,1501,1825,1860,302
1125,1407,1920,1815,284
1047,1415,1878,1851,316
1113,1360,1881,1765,280
1066,1446,1854,1833,312
1103,1445,1894,1770,291
1114,1445,1836,1844,322
1097,1463,1865,1773,309
1079,1444,1907,1729,288
1088,1410,1841,1730,289
1107,1453,1834,1778,319
1054,1407,1834,1777,300
1102,1398,1861,1819,309
1079,1409,1913,1752,302
1072,1466,1950,1786,305
1107,1445,1888,1761,312
1123,1448,1893,1761,307
1078,1458,1900,1766,295
1089,1420,1832,1739,333
1123,1459,1845,1684,316
1122,1449,1904,1710,295
1112,1416,1869,1741,291
1094,1469,1855,1722,328
1097,1451,1812,1813,298
1087,1391,1796,1730,309
1088,1457,1902,1727,307
1098,1405,1776,1850,320
1142,1407,1818,1777,323
1038,1442,1832,1748,306
1148,1367,1844,1725,281
1087,1456,1792,1749,282
1070,1461,1788,1785,284
1078,1392,1855,1766,314
1138,1475,1849,1787,305
1103,1387,1831,1779,323
1098,1347,1816,1757,301
1088,1371,1885,1715,305
1106,1421,1848,1754,287
1108,1465,1857,1726,295
1166,1382,1759,1804,263
1113,1441,1857,1745,338
1025,1430,1852,1753,303
1040,1419,1829,1705,297
1051,1322,1893,1747,308
1108,1453,1924,1797,289
1158,1423,1879,1727,288
1070,1356,1853,1755,305
1088,1380,1818,1759,269
1123,1374,1836,1756,297
1132,1413,1845,1819,302
1118,1396,1869,1805,288
1109,1410,1864,1788,310
1115,1367,1838,1727,326
1085,1400,1852,1766,274
1156,1388,1865,1795,326
1082,1420,1920,1792,323
1108,1395,1871,1724,291
1102,1381,1833,1804,308
1108,1357,1837,1837,314
1047,1378,1819,1709,330
1095,1425,1798,1718,308
1051,1398,1967,1760,306
1068,1401,1896,1758,279
1041,1447,1831,1669,296
1019,1451,1766,1764,305
1114,1404,1898,1787,313
1043,1388,1899,1703,279
1083,1331,1831,1712,284
1084,1441,1852,1781,289
1048,1338,1869,1717,288
1164,1374,1791,1742,321
1130,1425,1891,1756,292
1051,1456,1872,1739,282
1133,1390,1846,1741,287
1082,1378,1879,1798,292
1082,1379,1845,1793,311
1054,1380,1855,1772,274
1083,1351,1847,1705,331
1057,1401,1843,1740,301
1123,1364,1860,1757,325
1053,1383,1887,1768,302
1017,1376,1811,1700,295
1095,1449,1846,1734,310
1135,1364,1796,1753,303
1109,1451,1824,1724,279
1068,1414,1772,1705,289
1030,1409,1850,1717,317
1127,1405,1813,1772,305
1086,1451,1887,1686,327
988,1365,1879,1704,320
1047,1399,1844,1740,319
1090,1407,1739,1680,311
1098,1341,1850,1715,284
1144,1390,1890,1726,270
1066,1332,1812,1755,330
1039,1421,1818,1809,278
1094,1432,1872,1754,293
1102,1397,1871,1737,296
1070,1405,1843,1688,265
1056,1454,1847,1747,269
1128,1342,1867,1679,276
1048,1420,1812,1693,279
1111,1366,1841,1746,281
1061,1332,1812,1713,298
1043,1427,1754,1727,282
1053,1340,1851,1727,314
1098,1383,1728,1745,331
1064,1362,1864,1804,267
1096,1361,1809,1716,286
1075,1363,1805,1758,289
1100,1474,1772,1804,324
1050,1380,1840,1709,305
1080,1401,1844,1704,291
1103,1436,1811,1704,282
1012,1434,1813,1713,293
1125,1442,1741,1712,301
1060,1401,1750,1732,289
1043,1375,1866,1726,309
1162,1368,1819,1773,298
1033,1406,1774,1672,295
1094,1374,1797,1813,297
